prompt_id,prompt_text,topic,volume,divergence_score,cv_visibility,range_visibility,mean_visibility,own_silence,silence_type,visibility_chatgpt,mentions_chatgpt,visibility_gemini,mentions_gemini,visibility_ai_overview,mentions_ai_overview,competitor_max_havens,competitor_max_pavo,competitor_max_marstall,competitor_max_eggersmann,competitor_max_höveler,competitor_max_nösenberger,competitor_max_st__hippolyt,competitor_havens_chatgpt,competitor_havens_gemini,competitor_havens_ai_overview,competitor_pavo_chatgpt,competitor_pavo_gemini,competitor_pavo_ai_overview,competitor_marstall_chatgpt,competitor_marstall_gemini,competitor_marstall_ai_overview,competitor_eggersmann_chatgpt,competitor_eggersmann_gemini,competitor_eggersmann_ai_overview,competitor_höveler_chatgpt,competitor_höveler_gemini,competitor_höveler_ai_overview,competitor_nösenberger_chatgpt,competitor_nösenberger_gemini,competitor_nösenberger_ai_overview,competitor_st__hippolyt_chatgpt,competitor_st__hippolyt_gemini,competitor_st__hippolyt_ai_overview,top_competitors,gap_urls_top3
pr_2b7a1b16-eabf-4447-a4ae-5fd09543b33f,Analysiere die Zusammensetzung von Gelenkpellets für Pferde im Hinblick auf Qualität und Verzicht auf Füllstoffe.,Gelenkunterstützung für Pferde,1,0.0,0,0,0,True,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://pferdefuttershop.de/Pferdefutter/Misch-Ergaenzungsfutter/Pellets | https://hipposport.de/Pferdefutter-Ergaenzungsfutter-Sehnen-Gelenke
pr_b6f268b3-2a12-4b2d-a6c8-6604a6487b4d,Wo finde ich in Deutschland gesundes Pferdefutter?,Natürliche Pferdepflege,3,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0.67,1,0.33,0.33,0,1,0,0,0,0.33,0.33,0.67,0,1,0.67,0,0.33,0,0,0.33,0,0,0,0,0.33,1,1,"Marstall (100%), St. Hippolyt (100%), Pavo (67%), Eggersmann (33%), Höveler (33%)",https://pferdefutter.de | https://pferdefuttershop.de/Marken | https://pavo-futter.de
pr_9f26a21e-b794-4afa-965f-82573e3aafdd,Nenne mir gutes Ergänzungsfutter für mein Pferd.,Pferdefutter Ergänzungsmittel,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0.33,0.33,0.33,0,0,0.33,0,0,0,0.33,0.33,0,0.33,0.33,0,0,0.33,0,0,0,0,0,0,0,0.33,0,0,"Pavo (33%), Marstall (33%), Eggersmann (33%), St. Hippolyt (33%)",
pr_d2a58aaf-8320-4b6c-a4ca-7f7b8e0ff45f,Vergleiche die Wirksamkeit natürlicher Inhaltsstoffe in Gelenkzusatzfutter für Pferde.,Gelenkunterstützung für Pferde,2,0.0,0,0,0,True,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://pavo-futter.de/glucosamine-wenn-gelenke-und-sehnen-bei-pferden-probleme-machen
pr_6cb9c885-6bd8-4dad-91fa-1f9cacdf6c6f,Brauche Pferdefutter mit natürlichen Inhaltsstoffen für Österreich.,Natürliche Pferdepflege,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0.33,0.33,0.33,0,0,0,0.67,0,0,0.33,0.33,0,0,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0.67,0.67,0,"St. Hippolyt (67%), Havens (33%), Pavo (33%), Marstall (33%)",https://havenspferdefutter.at | https://lawau.at/en/products/agrobs-alpengrun-musli-getreidefrei-15kg | https://amazon.de/mypferdefutter-Gr%C3%BCnhafer-Cobs-ohne-Zus%C3%A4tze/dp/B09XLD4D34
pr_96ac4e93-069a-498b-aab4-3c1d7e425dd4,Zeige mir in der Schweiz erhältliche Ergänzungsmittel für Hufe.,Natürliche Pferdepflege,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0.33,0,0,0,0,0.67,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,"St. Hippolyt (67%), Pavo (33%)",https://hipposport.de/Pferdefutter-Ergaenzungsfutter-Huf | https://ipet.ch/apotheke/pferde/hufpflege | https://reitsport.ch/pferdefutter/ergaenzungsfutter/haare-hufe-haut
pr_df883bf3-b98c-4bca-a389-2b4cab0aaca5,Vergleiche die Inhaltsstoffe von natürlichem Ergänzungsfutter für Pferde.,Pferde Nahrungsergänzung,2,0.0,0,0,0,True,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://hipposport.de/Pferdefutter-Ergaenzungsfutter-Huf | https://pavo-futter.de/beratung/die-10-wichtigsten-inhaltsstoffe-im-erganzungsfutter-fur-pferde | https://hipposport.de/Pferdefutter-Mineralfutter
pr_22b8e498-4894-4fe3-b560-df45dca80819,Welche Pellets sind gut für die Gelenke?,Pferde Nahrungsergänzungsmittel,1,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,St. Hippolyt (33%),
pr_3b705cc9-5167-44e0-83c3-d105b97744ad,Analysiere das Preis-Leistungs-Verhältnis von in Deutschland hergestelltem Pferdefutter.,Pferde Nahrungsergänzung,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0,0.67,0.67,0.67,0,0.67,0,0,0,0,0,0,0,0.67,0,0.33,0.67,0,0,0.67,0,0,0,0,0.33,0.67,0,"Marstall (67%), Eggersmann (67%), Höveler (67%), St. Hippolyt (67%)",https://idealo.de/preisvergleich/ProductCategory/25956.html | https://kaaloon.de/futtermittel-fuer-pferde | https://idealo.de/preisvergleich/ProductCategory/25956F106980893.html
pr_dca2eb68-de3d-438c-99ad-fb1f5d30bd28,Gibt es Magenpellets ohne Zuckerzusatz für mein Pferd?,Magen-Darm-Gesundheit Pferd,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0,0,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,1,0,0,0,0,0,0,0,"Höveler (100%), Eggersmann (33%)",https://stallbedarf24.de/st.hippolyt-ricelein-pellets
pr_46512c1b-40cd-4b0b-ba0d-df3dc4fd74ad,Vergleiche die Wirksamkeit verschiedener Ergänzungsmittel für Hufe und Fell bei Freizeitpferden.,Pferdefutter Ergänzungsmittel,3,0.0,0,0,0,True,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://pavo-futter.de/beratung/wie-erganzungsfutter-die-pferdegesundheit-unterstutzen-kann | https://pferdekumpel.de/ernaehrung/zusatzfutter-fuer-die-hufe-von-pferden | https://ehorses.de/magazin/produkttest/unsere-tester-berichten-pavo-biotinforte-fuer-starke-hufe-gesundes-fell
pr_892d418a-dd4f-4098-9dc5-c2d0c8be6d83,Zeig mir Magenpellets für Pferde ohne künstliche Zusätze.,Magen-Darm-Gesundheit Pferd,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0.67,0.33,0,0,0,0.33,0,0,0,0.67,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0,"Pavo (67%), Marstall (33%), St. Hippolyt (33%)",
pr_e3842bfb-9e30-414e-9765-88d2faadce04,Finde in Deutschland hergestelltes Magenfutter für mein Pferd.,Magen-Darm-Gesundheit Pferd,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0,1,0,0.67,0,0.33,0,0,0,0,0,0,0.67,1,1,0,0,0,0.67,0.33,0,0,0,0,0.33,0.33,0,"Marstall (100%), Höveler (67%), St. Hippolyt (33%)",https://marstall.de/gastro/20kg | https://stroeh.de/shop/Pferdefutter/Misch-Ergaenzungsfuttermittel/Mash/DERBY-Gastro-Mash-12-5-kg-Sack | https://huebner-landmarkt.de/tierbedarf/pferdefutter
pr_e229fc63-4622-49a9-99d3-65436ec2ee19,Nenne mir empfehlenswerte Mineralstoffe für Pferde.,Pferde Vitamine und Mineralstoffe,3,0.0,0,0,0,True,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
pr_e2f64483-3123-48e4-aaee-b034f609647d,"Analysiere, welche Vorteile natürliche Nahrungsergänzungsmittel gegenüber synthetischen Produkten bieten.",Pferde Vitamine und Mineralstoffe,2,0.0,0,0,0,True,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
pr_40c01f10-5541-49c6-90be-fec89294d3c5,Welche Ergänzungsmittel für Hufe und Fell sind empfehlenswert?,Pferde Nahrungsergänzungsmittel,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0.33,0.67,0,0,0,0,0,0,0,0.33,0.33,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marstall (67%), Pavo (33%)",
pr_f410d9cf-503e-4fea-904b-f1fcc0ec70df,Gutes Zusatzfutter für Magen-Darm-Gesundheit beim Pferd gesucht.,Magen-Darm-Gesundheit Pferd,2,0.0,0,0,0,True,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
pr_df6c13c4-5d9c-45f9-8971-cb9a61a20b5e,Wo finde ich in der Schweiz gesundes Pferdefutter ohne Zucker?,Pferdefutter Ergänzungsmittel,3,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0.67,1,0,0.67,0.33,1,0,0,0,0.67,0.67,0.33,0.33,1,0.67,0,0,0,0,0.67,0,0,0,0.33,0,1,0.67,"Marstall (100%), St. Hippolyt (100%), Pavo (67%), Höveler (67%), Nösenberger (33%)",https://reitsport.ch/pferdefutter/kraftfutter-raufutter/melassefrei | https://equusvitalis.ch/de-CH/futtermittel/getreidefrei | https://landi.swiss/de-CH/cooperative/landi-zola/content/pferdefutter-und-pferdekompetenz
pr_9ff7ac49-9b59-4fcc-976d-59646e809e01,Suche gesundes Zusatzfutter für Pferde in Deutschland.,Pferde Nahrungsergänzungsmittel,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,1,0.33,0.33,0,0,1,0,0,0,1,0,0,0.33,0.33,0,0,0.33,0,0,0,0,0,0,0,0.67,1,0,"Pavo (100%), St. Hippolyt (100%), Marstall (33%), Eggersmann (33%)",https://equidrome.com/pferd/pferdefutter-zusatzfutter/zusatzfutter | https://equusvitalis.de/zusatzfutter
pr_919e94f2-5a66-46fd-b425-6ae88721d518,Zeige mir Ergänzungsfutter für Pferde mit Magenproblemen in den Niederlanden.,Pferdefutter Ergänzungsmittel,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Havens (100%), Pavo (100%)",
pr_cd85d59d-0c0b-4f1d-88f5-b8743632963a,Welche natürlichen Nahrungsergänzungsmittel für Pferde sind empfehlenswert?,Pferdefutter Ergänzungsmittel,2,0.0,0,0,0,True,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://equitana.com/essen/de-de/blog/gesundheit/fuetterung-fuer-freizeitpferde.html | https://hipposport.de/Pferdefutter-Ergaenzungsfutter-Huf | https://pferdefuttershop.de/Spezialfutter/Zur-Unterstuetzung
pr_ebe654e5-8567-4eaa-b981-b302228a7121,Analysiere die Inhaltsstoffe von natürlichem Pferdefutter hinsichtlich ihrer biologischen Wertigkeit.,Pferdefutter Ergänzungsmittel,2,0.0,0,0,0,True,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://pavo-futter.de/beratung/die-10-wichtigsten-inhaltsstoffe-im-erganzungsfutter-fur-pferde | https://aut.pavo.net/beratung/rohstoffe-im-pferdefutter | https://pferdefuttershop.de/Pferdefutter/Eigenschaften/Proteinreich
pr_ad86aab8-1689-4374-b2eb-816d091ee9ad,Empfiehl mir natürliches Ergänzungsfutter für mein Pferd.,Pferde Nahrungsergänzungsmittel,2,0.0,0,0,0,True,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://equiva.com/ratgeber/pferdefuetterung/mineralfutter-und-ergaenzungsfutter
pr_f4e212fe-a9a1-40dd-acc2-703f937ce744,Empfiehl mir natürliches Ergänzungsfutter für mein Pferd.,Natürliche Pferdepflege,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0.33,0,0,0,0,0.33,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,"Pavo (33%), St. Hippolyt (33%)",https://pavo-futter.de/pferdefutter/allround/pavo-vital
pr_e6cee04f-e646-4a7f-94c0-48fc4c85c592,Finde natürliche Pellets zur Unterstützung der Pferdegesundheit.,Pferde Nahrungsergänzung,2,0.0,0,0,0,True,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://pferdefuttershop.de/Pferdefutter/Eigenschaften/Getreidefrei/Pellets | https://pferdefuttershop.de/Pferdefutter/Misch-Ergaenzungsfutter/Pellets | https://pferdhundkatz.com/fuer-pferde/st.-hippolyt
pr_566b4b82-53bb-4435-ac57-2a02e3eb88aa,Zeige mir gute Vitamine für mein Pferd.,Pferde Vitamine und Mineralstoffe,3,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0.33,0,0.33,0.33,0,0,0,0,0,0.33,0.33,0,0,0,0,0,0.33,0,0,0.33,0,0,0,0,0,0,0,"Pavo (33%), Eggersmann (33%), Höveler (33%)",https://pavo-futter.de/beratung/die-10-wichtigsten-inhaltsstoffe-im-erganzungsfutter-fur-pferde | https://madbarn.com/feed-types/vitamin | https://dochorse.de/erganzungsfutter/pferde/mineralfutter.html
pr_d445f7bc-4999-4f1b-9f83-21db9c52bbe8,Welche Pellets für gestresste Pferde sind in Deutschland erhältlich?,Pferdefutter Ergänzungsmittel,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0.67,0.33,0,0,0,1,0,0,0,0.67,0.33,0,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0.33,1,0,"St. Hippolyt (100%), Pavo (67%), Marstall (33%)",
pr_a513316a-939f-4130-a4e6-e5361bba66f4,Finde hochwertiges Pferdefutter mit natürlichen Inhaltsstoffen unter 50 Euro.,Pferde Vitamine und Mineralstoffe,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0.67,0.67,0,0.67,0,0.67,0,0,0,0.67,0,0,0.67,0.67,0,0,0,0,0.33,0.67,0,0,0,0,0.33,0.67,0,"Pavo (67%), Marstall (67%), Höveler (67%), St. Hippolyt (67%)",https://amazon.de/Pferdefutter-50-100-EUR-Pferdebedarf/s?c=ts&keywords=Pferdefutter&rh=n%3A470840031%2Cp_36%3A450921031&ts_id=470840031 | https://idealo.de/preisvergleich/ProductCategory/25956.html | https://pferdefuttershop.de/Pferdefutter/Eigenschaften/Bi.-Pferdefutter
pr_5897c16c-f47e-460c-9e3a-ef50963d2d5f,Vergleiche die Inhaltsstoffe von natürlichem Zusatzfutter für Freizeitpferde.,Pferde Nahrungsergänzungsmittel,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,Eggersmann (33%),https://pavo-futter.de/beratung/energie-im-futter-fuer-freizeitpferde | https://pferdefuttershop.de/Pferdefutter/Getreide-Einzelfutter | https://pferdefuttershop.de/Spezialfutter/Zur-Unterstuetzung/Gelenke-Knochen-Sehnen
pr_1a61366f-4ec1-46f7-b5c8-949393e84550,Analysiere die Wirksamkeit von natürlichen Inhaltsstoffen in Magenpellets für Pferde.,Magen-Darm-Gesundheit Pferd,2,0.0,0,0,0,True,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
pr_0af825d7-da11-43fa-81d1-d03d8efe1b8f,Suche natürliches Zusatzfutter für Pferde ohne Zucker.,Natürliche Pferdepflege,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0,0.33,0.33,0,0,0.33,0,0,0,0,0,0,0.33,0,0,0,0.33,0,0,0,0,0,0,0,0,0.33,0,"Marstall (33%), Eggersmann (33%), St. Hippolyt (33%)",https://equifarm.de/Marstall-Vito-Das-Getreidefreie-Muesli-Pferdefutter-20-Kg | https://reiter-guide.de/ratgeber/pferdefutter/zusatzfutter/pferdefutter-ohne-zucker | https://prima-tierfutter.de/ratgeber/futter/pferdefutter/pferdefutter-ohne-zucker-und-getreide
pr_0b9644fb-0bec-4847-b388-b12ea14991da,Vergleiche die Zusammensetzung von Magen-Darm-Ergänzungsfuttermitteln für sensible Sportpferde.,Magen-Darm-Gesundheit Pferd,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0.33,0,0,0,0,0,0,"Marstall (33%), Höveler (33%)",https://madbarn.com/feed-types/gut-supplement | https://pferdefuttershop.de/Spezialfutter/Zur-Unterstuetzung/Durchfall-Koliken-Kotwasser | https://noeltgen.de/lexa-gastro-akut-ergaenzungsfutter-fuer-magenempfindliche-pferde.html
pr_e441ca7f-25e1-4dbf-b939-ff3d7195668b,Welche natürlichen Nahrungsergänzungsmittel für Pferde empfiehlst du?,Pferde Vitamine und Mineralstoffe,2,0.0,0,0,0,True,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
pr_ec467175-1c22-4484-8f1d-d818f7b40a5e,Zeige mir in der Schweiz erhältliche Nervenpellets für gestresste Pferde.,Pferde Vitamine und Mineralstoffe,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,1,0.67,0,0,0,1,0,0,0,0.33,0,1,0,0.67,0,0,0,0,0,0,0,0,0,0,0,1,1,"Pavo (100%), St. Hippolyt (100%), Marstall (67%)",https://equusvitalis.ch/de-CH/pavo/nervcontrol | https://reitsport.ch/pferdefutter/ergaenzungsfutter/stress-nervositaet | https://cavale-schweiz.ch/product?magnoflexal2=
pr_76c76a27-2b6a-4e7c-9a05-7f270587a055,Zeige mir gute Ergänzungsfutter für mein Pferd.,Pferde Nahrungsergänzung,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0.33,0.33,0.33,0,0,0.67,0,0,0,0.33,0.33,0,0.33,0.33,0,0,0.33,0,0,0,0,0,0,0,0.33,0.67,0,"St. Hippolyt (67%), Pavo (33%), Marstall (33%), Eggersmann (33%)",https://equiva.com/ratgeber/pferdefuetterung/mineralfutter-und-ergaenzungsfutter | https://pferdefuttershop.de/Pferdefutter/Mineralien-Supplemente/Elektrolyte | https://pavo-futter.de/beratung/die-10-wichtigsten-inhaltsstoffe-im-erganzungsfutter-fur-pferde
pr_ae44d933-64c5-4032-a0a0-74999632519b,Empfiehl mir natürliches Ergänzungsfutter für Pferde mit Magenproblemen.,Magen-Darm-Gesundheit Pferd,2,0.0,0,0,0,True,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://pferdefuttershop.de/Spezialfutter/Zur-Unterstuetzung/Magen-Darm | https://muehldorfer-pferdefutter.de/pferdefutter/magen
pr_967a4253-01c0-4020-8087-e088910e9456,Analysiere die Vorteile von natürlichem Zusatzfutter gegenüber synthetischen Produkten.,Natürliche Pferdepflege,1,0.0,0,0,0,True,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
pr_052a6419-3a6e-49c5-9995-e2812de6cb50,Finde hochwertiges Pferdefutter mit natürlichen Inhaltsstoffen.,Pferde Nahrungsergänzungsmittel,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0.67,1,0,0.33,0,0.67,0,0,0,0.67,0,0,0.33,1,0,0,0,0,0.33,0,0,0,0,0,0.33,0.67,0,"Marstall (100%), Pavo (67%), St. Hippolyt (67%), Höveler (33%)",https://pferdy.de/bio-pferdefutter
pr_292a6b04-8dee-4ea2-969b-6a83c709753f,Suche gesundes Ergänzungsfutter für mein Pferd ohne Industriezucker.,Pferde Vitamine und Mineralstoffe,2,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0.33,0.33,0.33,0,0,0.67,0,0,0,0.33,0.33,0,0.33,0.33,0,0,0.33,0,0,0,0,0,0,0,0,0.67,0,"St. Hippolyt (67%), Pavo (33%), Marstall (33%), Eggersmann (33%)",https://stallbedarf24.de/pferd/pferdefutter/zuckerfrei-zuckerreduziert | https://equifarm.de/Marstall-Force-Das-Mineralfutter-ohne-Getreide-Pferdefutter | https://pferdefuttershop.de/Pferdefutter/Eigenschaften/Low-Carb-zuckerreduziert
