prompt_id,prompt_text,topic,volume,divergence_score,silence_type,own_silence,visibility_chatgpt,visibility_gemini,visibility_ai_overview,top_competitors,source_classes
pr_919e94f2-5a66-46fd-b425-6ae88721d518,Zeige mir Ergänzungsfutter für Pferde mit Magenproblemen in den Niederlanden.,Pferdefutter Ergänzungsmittel,2,0.0,own_only,True,0,0,0,"Pavo (33%), Marstall (33%)","CORPORATE 79%, OTHER 10%, REFERENCE 5%, INSTITUTIONAL 5%"
pr_7a8a9195-6c6b-417b-9340-ce1db1d99933,Zeig mir Magenpellets ohne Zuckerzusatz.,Pferde Nahrungsergänzungsmittel,1,0.0,own_only,True,0,0,0,"Marstall (100%), Eggersmann (67%), St. Hippolyt (67%)",CORPORATE 100%
pr_5897c16c-f47e-460c-9e3a-ef50963d2d5f,Vergleiche die Inhaltsstoffe von natürlichem Zusatzfutter für Freizeitpferde.,Pferde Nahrungsergänzungsmittel,2,0.0,own_only,True,0,0,0,"St. Hippolyt (67%), Pavo (33%), Marstall (33%), Höveler (33%)","CORPORATE 73%, EDITORIAL 8%, REFERENCE 7%, OTHER 4%, UGC 4%, INSTITUTIONAL 1%"
pr_e3842bfb-9e30-414e-9765-88d2faadce04,Finde in Deutschland hergestelltes Magenfutter für mein Pferd.,Magen-Darm-Gesundheit Pferd,2,0.0,own_only,True,0,0,0,"Marstall (100%), Eggersmann (33%), Höveler (33%), Nösenberger (33%), St. Hippolyt (33%)","CORPORATE 80%, COMPETITOR 8%, OTHER 6%, UGC 4%, REFERENCE 2%"
pr_46512c1b-40cd-4b0b-ba0d-df3dc4fd74ad,Vergleiche die Wirksamkeit verschiedener Ergänzungsmittel für Hufe und Fell bei Freizeitpferden.,Pferdefutter Ergänzungsmittel,3,0.0,own_only,True,0,0,0,"Marstall (67%), Pavo (33%)","CORPORATE 75%, OTHER 6%, REFERENCE 5%, INSTITUTIONAL 4%, EDITORIAL 3%, UGC 2%, COMPETITOR 1%, OWN 1%"
pr_dca2eb68-de3d-438c-99ad-fb1f5d30bd28,Gibt es Magenpellets ohne Zuckerzusatz für mein Pferd?,Magen-Darm-Gesundheit Pferd,2,0.0,own_only,True,0,0,0,"Höveler (67%), St. Hippolyt (67%), Eggersmann (33%)","CORPORATE 93%, OTHER 3%, OWN 3%"
pr_e6cee04f-e646-4a7f-94c0-48fc4c85c592,Finde natürliche Pellets zur Unterstützung der Pferdegesundheit.,Pferde Nahrungsergänzung,2,0.0,own_only,True,0,0,0,St. Hippolyt (33%),"CORPORATE 90%, UGC 2%, REFERENCE 2%, COMPETITOR 2%, INSTITUTIONAL 2%"
pr_e107b87d-d16a-46cd-a7cd-97643c2eecea,Gutes Zusatzfutter für Pferde in Österreich gesucht.,Pferdefutter Ergänzungsmittel,2,0.0,own_only,True,0,0,0,"Marstall (100%), Pavo (67%), St. Hippolyt (67%), Eggersmann (33%)","CORPORATE 71%, INSTITUTIONAL 7%, UGC 7%, REFERENCE 7%, EDITORIAL 7%"
pr_f4e212fe-a9a1-40dd-acc2-703f937ce744,Empfiehl mir natürliches Ergänzungsfutter für mein Pferd.,Natürliche Pferdepflege,2,0.0,own_only,True,0,0,0,"St. Hippolyt (67%), Pavo (33%), Marstall (33%), Nösenberger (33%)","CORPORATE 66%, REFERENCE 21%, UGC 6%, EDITORIAL 6%"
pr_9f26a21e-b794-4afa-965f-82573e3aafdd,Nenne mir gutes Ergänzungsfutter für mein Pferd.,Pferdefutter Ergänzungsmittel,2,0.0,own_only,True,0,0,0,"Marstall (100%), St. Hippolyt (67%), Pavo (33%), Eggersmann (33%), Höveler (33%)","EDITORIAL 37%, CORPORATE 34%, REFERENCE 27%"
pr_40c01f10-5541-49c6-90be-fec89294d3c5,Welche Ergänzungsmittel für Hufe und Fell sind empfehlenswert?,Pferde Nahrungsergänzungsmittel,2,0.0,own_only,True,0,0,0,"St. Hippolyt (67%), Höveler (33%)","CORPORATE 42%, EDITORIAL 19%, UGC 14%, INSTITUTIONAL 9%, OTHER 9%, REFERENCE 4%"
pr_6cb9c885-6bd8-4dad-91fa-1f9cacdf6c6f,Brauche Pferdefutter mit natürlichen Inhaltsstoffen für Österreich.,Natürliche Pferdepflege,2,0.0,own_only,True,0,0,0,"Pavo (33%), Höveler (33%), St. Hippolyt (33%)","CORPORATE 93%, REFERENCE 5%, INSTITUTIONAL 1%"
